feature,importance_value,importance_type,model,rank
state_code_MA,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_LA,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_KY,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_KS,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_K7,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_K2,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_J8,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_IN,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_IL,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Databases,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Data Security,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Data Centers,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Cyber Security,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Customer Service,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Crowdfunding,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Credit Cards,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Credit,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Creative,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Coupons,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_OK,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_OH,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NV,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NS,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NM,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NJ,0.0,model_builtin,GradientBoostingClassifier,489.0
region_Allentown,0.0,model_builtin,GradientBoostingClassifier,489.0
region_Alexandria,0.0,model_builtin,GradientBoostingClassifier,489.0
region_Albuquerque,0.0,model_builtin,GradientBoostingClassifier,489.0
region_AUS - Other,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_VA,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_U8,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_TX,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_TN,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_RI,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_QC,0.0,model_builtin,GradientBoostingClassifier,489.0
